id_dato,tema,subtema,variable,valor_texto,valor_numerico,valor_min,valor_max,operador,unidad,fase_escenario,receptor_localizacion,version_documental,estado_version,id_documento,fuente_documento,pagina_pdf,seccion_tabla,actor_fuente,tipo_evidencia,estado_verificacion,contexto,relacion_cambio,caveat
DAT011,generadores,arranque,Tiempo de arranque de generadores de respaldo,3,3,,,=,s,evento de pérdida de UTE,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,5,"Respuesta a SIC 02, ítem 1.d",Eleanor Applications S.R.L.,dato operativo,verificado,La respuesta informa arranque de generadores a 3 segundos.,,No equivale al tiempo de transferencia efectiva de carga.
DAT012,baterías,autonomía,Autonomía de baterías a nivel de rack,40,40,,,=,s,evento de pérdida de UTE,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,5,"Respuesta a SIC 02, ítem 1.d",Eleanor Applications S.R.L.,dato operativo,verificado,La capacidad de rack informada sostiene la carga durante 40 segundos.,,Tipo/química de batería no identificada en esta evidencia.
DAT013,generadores,lógica de transferencia,Ventana de retorno de UTE sin transferencia de carga,10,10,,,≤,s,evento breve de red,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,5,"Respuesta a SIC 02, ítem 1.d",Eleanor Applications S.R.L.,dato operativo,verificado,"Si UTE retorna dentro de 10 segundos, la respuesta indica que no se transfiere la carga.",,El generador puede haber arrancado igualmente.
DAT014,generadores,operación sin carga,Tiempo máximo informado de funcionamiento sin carga tras retorno rápido de UTE,5,5,,,≤,min,evento breve de red,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,5,"Respuesta a SIC 02, ítem 1.d",Eleanor Applications S.R.L.,dato operativo,verificado,La respuesta indica funcionamiento del generador hasta 5 minutos sin carga.,,No representa horas anuales de prueba ni operación de emergencia.
DAT015,riesgo,cortes eléctricos,Duración del evento extremo excluido del análisis revisado,65,65,,,=,h,análisis histórico de cortes,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,5,"Respuesta a SIC 02, ítem 1.d",Eleanor Applications S.R.L.,decisión metodológica,verificado con caveat,El proponente mantuvo fuera del análisis un evento de 65 horas por atribuirlo a un ciclón subtropical.,,Es una exclusión metodológica relevante para resiliencia; no es duración prevista de respaldo.
DAT016,aire,modelación,Horario modelado del escenario normal conservador,08:00-18:00,,,,,horario,operación normal / mantenimiento,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,4,"Respuesta a SIC 02, ítem 1.c",Eleanor Applications S.R.L.,supuesto de modelación,verificado,Se simula cada generador todos los días dentro de esa ventana horaria.,,"Es un supuesto de modelación, no necesariamente horario real de pruebas."
DAT017,aire,modelación,Carga de generador usada en escenario normal,100,100,,,=,% de carga,operación normal / mantenimiento,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,4,"Respuesta a SIC 02, ítem 1.c",Eleanor Applications S.R.L.,supuesto de modelación,verificado,La modelación usa 100% de carga como hipótesis conservadora.,,Es un supuesto de modelación.
DAT018,aire,modelación,Años de meteorología considerados,3,3,,,=,años,modelación de dispersión,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,4,"Respuesta a SIC 02, ítem 1.c",Eleanor Applications S.R.L.,parámetro metodológico,verificado,Se modelan tres años de meteorología y se seleccionan máximos por receptor.,,Esta evidencia no identifica aquí los años calendario.
DAT019,aire,NO2 / contingencia,Umbral de NO2 para continuar monitoreo reforzado,200,200,,, >,µg/m3,contingencia,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,6,"Respuesta a SIC 02, ítem 1.f",Eleanor Applications S.R.L.,umbral operativo propuesto,verificado,El árbol de decisión propuesto prevé continuar monitoreo por encima de 200 µg/m3.,,Lineamiento presentado durante evaluación; detalle final queda para AAO.
DAT020,aire,NO2 / contingencia,Umbral de NO2 para alerta y preparación de desconexión,260,260,,, >,µg/m3,contingencia,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,6,"Respuesta a SIC 02, ítem 1.f",Eleanor Applications S.R.L.,umbral operativo propuesto,verificado,Se propone alertar y preparar desconexión por encima de 260 µg/m3 y por debajo de AEGL1.,,La Resolución luego vincula este umbral con acciones hacia la comunidad.
DAT021,aire,NO2 / contingencia,AEGL1 de NO2 usado para activar desconexión,940,940,,, >,µg/m3,contingencia,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,6,"Respuesta a SIC 02, ítem 1.f",Eleanor Applications S.R.L.,umbral operativo propuesto,verificado,La respuesta identifica 940 µg/m3 como AEGL1 y activa desconexión al superarlo.,,Se registra tal como figura en la fuente; no se recalcula externamente.
DAT022,aire,receptores,Inclusión de Parque de las Ciencias como receptor en modelación final,sí,,,,,booleano,"operación normal, emergencia y riesgo",Parque de las Ciencias,tramitación complementaria,vigente/usable con caveat según fila,DOC012,Respuesta-SIC-04-V2.pdf,1,Respuesta a SIC 04,Eleanor Applications S.R.L.,cambio de alcance de modelación,verificado,"Tras reiteración de DINACEA, se incorporan receptores dentro de PDLC pero fuera del predio de Eleanor Applications.",,La SIC anterior había sido respondida inicialmente defendiendo su exclusión.
DAT023,ruido,baja frecuencia,Banda de baja frecuencia modelada,63,63,,,=,Hz,operación normal / énfasis nocturno,receptores sensibles,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,7-8,"Respuesta a SIC 02, ítem 2",Eleanor Applications S.R.L.,parámetro de modelación,verificado,Se modela la banda de 63 Hz en cinco receptores.,,La evaluación también incluye 125 Hz.
DAT024,ruido,baja frecuencia,Banda de baja frecuencia modelada,125,125,,,=,Hz,operación normal / énfasis nocturno,receptores sensibles,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,7-8,"Respuesta a SIC 02, ítem 2",Eleanor Applications S.R.L.,parámetro de modelación,verificado,Se modela la banda de 125 Hz en cinco receptores.,,La evaluación también incluye 63 Hz.
DAT025,ruido,baja frecuencia,Diferencia LCeq-LAeq que motiva penalización,15,15,,, >,dB,operación normal / nocturno,receptores evaluados,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,7-8,"Respuesta a SIC 02, ítem 2",Eleanor Applications S.R.L.,criterio de evaluación,verificado,La respuesta concluye que LCeq-LAeq supera 15 dB.,,"Se registra el umbral citado, no una medición individual por receptor."
DAT026,ruido,baja frecuencia,Penalización aplicada por bajas frecuencias,6,6,,,=,dBA,operación normal / nocturno,receptores evaluados,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,7-8,"Respuesta a SIC 02, ítem 2",Eleanor Applications S.R.L.,ajuste de evaluación,verificado,Se aplica penalización de 6 dBA por bajas frecuencias.,,Valor aplicado en la evaluación presentada.
DAT027,ruido,receptor MR2,Incremento nocturno proyectado en MR2,2.1,2.1,,,=,dBA,operación normal / nocturno,MR2,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,7-8,"Respuesta a SIC 02, ítem 2",Eleanor Applications S.R.L.,resultado modelado,verificado,Incremento nocturno proyectado informado para MR2.,,"Es un resultado modelado, no una medición post-operación."
DAT028,ruido,receptor MR1,Nivel resultante nocturno en MR1,67.6,67.6,,,=,dBA,operación normal / nocturno,MR1,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,7-8,"Respuesta a SIC 02, ítem 2",Eleanor Applications S.R.L.,resultado modelado,verificado,Nivel resultante nocturno reportado para MR1.,,Resultado modelado con la penalización indicada en la respuesta.
DAT029,ruido,receptor MR2,Nivel resultante nocturno en MR2,57.2,57.2,,,=,dBA,operación normal / nocturno,MR2,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,7-8,"Respuesta a SIC 02, ítem 2",Eleanor Applications S.R.L.,resultado modelado,verificado,Nivel resultante nocturno reportado para MR2.,,Resultado modelado con la penalización indicada en la respuesta.
DAT030,efluentes,domésticos,Caudal horario de efluentes domésticos del proyecto,~2,2,,,≈,m3/h,operación,PTE Parque de las Ciencias,tramitación complementaria,vigente/usable con caveat según fila,DOC007,Solicitud-de-Informacion-Complementaria-02.pdf,3,"SIC 02, ítem 3",DINACEA,requerimiento / magnitud a demostrar,verificado,DINACEA formula el requerimiento usando aproximadamente 2 m3/h.,,La respuesta desarrolla la capacidad en m3/d.
DAT031,efluentes,domésticos,Caudal diario de efluentes domésticos del proyecto,48,48,,,=,m3/d,operación,PTE Parque de las Ciencias,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,9; Anexo I pp.15-16,"Respuesta a SIC 02, ítem 3",Eleanor Applications S.R.L.,dato declarado,verificado,Caudal diario que Teros enviaría a la PTE de Parque de las Ciencias.,,No es consumo total de agua del data center.
DAT032,efluentes,capacidad de tratamiento,Capacidad autorizada de la PTE de Parque de las Ciencias,410,410,,,=,m3/d,operación,PTE Parque de las Ciencias,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,9; Anexo I pp.15-16,Nota técnica adjunta,Parque de las Ciencias / proponente,dato de capacidad,verificado,Capacidad total autorizada reportada para la planta receptora.,,"Capacidad de la PTE, no del Proyecto Teros."
DAT033,efluentes,capacidad de tratamiento,Capacidad ocupada de la PTE antes de Teros,331,331,,,=,m3/d,situación previa,PTE Parque de las Ciencias,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,9; Anexo I pp.15-16,Nota técnica adjunta,Parque de las Ciencias / proponente,dato de capacidad,verificado,Carga/capacidad ocupada informada antes de incorporar Teros.,,Se registra tal como se presenta en la nota técnica.
DAT034,efluentes,capacidad de tratamiento,Capacidad remanente de la PTE antes de Teros,79,79,,,=,m3/d,situación previa,PTE Parque de las Ciencias,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,9; Anexo I pp.15-16,Nota técnica adjunta,Parque de las Ciencias / proponente,dato derivado en fuente,verificado,Remanente informado antes de recibir los efluentes de Teros.,,Corresponde a 410-331 según cifras de la propia fuente.
DAT035,efluentes,capacidad de tratamiento,Capacidad remanente de la PTE después de Teros,31,31,,,=,m3/d,con Teros operando,PTE Parque de las Ciencias,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,9; Anexo I pp.15-16,Nota técnica adjunta,Parque de las Ciencias / proponente,dato derivado en fuente,verificado,Remanente informado luego de incorporar 48 m3/d de Teros.,,Corresponde a 79-48 según cifras de la propia fuente.
DAT036,proyecto,etapas,Número de etapas de desarrollo,4,4,,,=,etapas,global,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,18,3.1 Introducción,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,El edificio de centro de datos se instalará en cuatro etapas.,,
DAT037,proyecto,operación,Régimen operativo previsto,24 h/día; 365 días/año,,,,=,horario,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,18,3.1 Introducción,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,Funcionamiento ininterrumpido del centro de datos.,,
DAT038,suelo,predio,Superficie total del predio,"32,5",32.5,,,=,ha,global,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,7,1.5 Ubicación y accesos,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,Superficie indicada para los padrones del proyecto.,"El Informe Final resume 32,2 ha; conservar ambas versiones para trazabilidad.","Existe diferencia de 0,3 ha con el valor resumido por DINACEA en el Informe Final."
DAT039,suelo,predio,Superficie del predio resumida por DINACEA,"32,2",32.2,,,=,ha,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,6,2.4.4 Aspectos ambientales — Presencia física,DINACEA,síntesis de autoridad,verificado contra fuente,"DINACEA resume que el emprendimiento ocupará 32,2 ha.","Difiere de 32,5 ha del DP.",
DAT040,suelo,ocupación,Factor de Ocupación del Suelo (FOS),"7,4",7.4,,,=,%,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,24,3.3 Cobertura del suelo,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT041,suelo,ocupación,Factor de Ocupación de Suelo Verde,"69,3",69.3,,,=,%,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,24,3.3 Cobertura del suelo,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT042,suelo,impermeabilización,Área impermeabilizada máxima,"27,4",27.4,,,=,%,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,6,2.4.4 Aspectos ambientales — Presencia física,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT043,proyecto,altura,Altura máxima del emprendimiento,"57,9",57.9,,,=,m s.n.m.,global,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,20,3.2 Descripción de componentes,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT044,proyecto,estacionamiento,Capacidad mínima de estacionamiento,40,40,,,=,vehículos,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,23,3.2 Infraestructura auxiliar,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT045,refrigeración,equipamiento,Número total de chillers enfriados por aire,32,32,,,=,equipos,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,20,3.2 Sistema de enfriamiento,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT046,refrigeración,redundancia,Configuración de chillers por módulo,7+1,,,,=,equipos/módulo,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,20,3.2 Sistema de enfriamiento,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT047,refrigeración,agua,Tipo de circuito de agua de enfriamiento,circuito cerrado,,,,=,categórico,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,20,3.2 Sistema de enfriamiento,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT048,agua,fuente,Fuente de agua del proyecto,red de agua potable de Parque de las Ciencias,,,,=,categórico,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,21,3.2 Infraestructura auxiliar — Suministro de agua,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT049,agua,consumo,Consumo diario de agua a máximo desarrollo,"48,1",48.1,,,=,m3/d,operación máxima,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,47,5.1 Operación normal — Insumos,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,"Principalmente para cocina, baños y otros usos del personal; la reposición del circuito cerrado se describe como insignificante.",,
DAT050,agua,consumo,Consumo diario de agua asumido por DINACEA,"48,1",48.1,,,=,m3/d,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,6,2.4.3 Insumos,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT051,agua,comisionamiento,Efluente de comisionamiento etapa 1,840,840,,,=,m3,comisionamiento etapa 1,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,38,4.9 Aguas residuales industriales en comisionamiento,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT052,agua,comisionamiento,Efluente de comisionamiento por cada etapa 2-4,765,765,,,=,m3/etapa,comisionamiento etapas 2-4,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,38,4.9 Aguas residuales industriales en comisionamiento,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT053,agua,tratamiento químico,Dosificación Gengard GN7004,50,50,,,=,ppm,comisionamiento,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,38,Tabla 4-6,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,Inhibidor de incrustaciones.,,
DAT054,agua,tratamiento químico,Dosificación Flogard MS6201,30,30,,,=,ppm,comisionamiento,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,38,Tabla 4-6,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,Inhibidor de corrosión.,,
DAT055,agua,tratamiento químico,Dosificación Spectrus NX1100,50,50,,,=,ppm,comisionamiento,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,38,Tabla 4-6,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,Biocida / control microbiológico.,,
DAT056,agua,tratamiento químico,Dosificación Spectrus BD1500,5,5,,,=,ppm,comisionamiento,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,38,Tabla 4-6,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,Biodispersante.,,
DAT057,agua,WUE,WUE reportado para Teros,no identificado,,,,=,,operación,,expediente completo,sin dato cuantificado,,DP-Teros-24102023.pdf; Informe-Final.pdf,"20, 47; 6",Revisión transversal,proponente / DINACEA,vacío de información,verificado contra fuente,,,"El expediente describe consumo de agua y refrigeración, pero no se identificó un indicador WUE verificable."
DAT058,refrigerantes,tipo,Tipo de refrigerante y GWP,no identificado,,,,=,,operación,,DP octubre 2023,sin dato cuantificado,DOC002,DP-Teros-24102023.pdf,47,5.1 Insumos químicos,Eleanor Applications S.R.L.,vacío de información,verificado contra fuente,,,"El DP menciona refrigerantes para chillers/HVAC pero no especifica aquí compuesto, carga ni tasa de fuga."
DAT059,construcción,materiales,Hormigón requerido,18.000,18000,,,=,m3,construcción,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,33,Tabla 4-2,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT060,construcción,materiales,Sub-base y bases granulares,24.000,24000,,,=,m3,construcción,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,33,Tabla 4-2,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT061,construcción,materiales,Asfalto,14.000,14000,,,=,m2,construcción,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,33,Tabla 4-2,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT062,construcción,materiales,Estructuras de acero,2.300,2300,,,=,t,construcción,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,33,Tabla 4-2,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT063,efluentes,domésticos construcción,Caudal medio de efluentes domésticos en obra,35,35,,,=,m3/d,construcción,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,38,4.9 Aguas residuales asimilables a domésticas,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT064,efluentes,domésticos construcción,Caudal pico de efluentes domésticos en obra,casi 80,80,,,≈,m3/d,construcción,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,38,4.9 Aguas residuales asimilables a domésticas,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT065,efluentes,domésticos operación,Caudal horario de efluentes domésticos,~2,2,,,≈,m3/h,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,50,5.2 Aguas residuales,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT066,efluentes,industriales mantenimiento,Generación máxima en mantenimiento programado,4,4,,,=,m3/d,operación / mantenimiento,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,50,5.2 Aguas residuales industriales,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT067,efluentes,industriales rotura,Caudal por rotura de circuito,38,38,,,=,L/min,rotura,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,50,5.2 Aguas residuales industriales,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT068,efluentes,industriales rotura,Duración máxima considerada para rotura,8,8,,,=,h,rotura,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,50,5.2 Aguas residuales industriales,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT069,efluentes,domésticos operación,Caudal máximo adoptado en evaluación final,48,48,,,=,m3/d,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,21,4.2.4 Calidad de agua,DINACEA,síntesis de autoridad,verificado contra fuente,,Consolida el valor usado para demostrar capacidad de la PTE de PDLC.,
DAT070,energía,subestación,Tensión de subestación de UTE,150,150,,,=,kV,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,20,3.2 Subestación eléctrica,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT071,energía,subestación,Número de circuitos de transmisión previstos,2,2,,,=,circuitos,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,20,3.2 Subestación eléctrica,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT072,energía,distribución,Tensión de distribución interna,22,22,,,=,kV,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,20,3.2 Subestación eléctrica,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT073,energía,consumo,Consumo anual adoptado por DINACEA,420,420,,,=,GWh/año,operación máxima,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,8,2.4.4 Consumo energético,DINACEA,síntesis de autoridad,verificado contra fuente,,La Respuesta SIC 01 había distinguido acuerdo inicial hasta 420 GWh/año de consumo máximo <560 GWh/año.,
DAT074,energía,PUE,PUE mínimo previsto para Teros,"1,12",1.12,,,=,adimensional,operación máxima,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,8,2.4.4 Consumo energético,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT075,energía,PUE,PUE máximo previsto para Teros,"1,35",1.35,,,=,adimensional,operación máxima,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,8,2.4.4 Consumo energético,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT076,energía,PUE,Frecuencia de medición de PUE exigida,anual,,,,=,frecuencia,operación / AAO,,condición final 2024,vigente en expediente,DOC016,Resolucion-Ministerial-644-2024.pdf,5,Numeral 5.a.i,Ministerio de Ambiente,condición vinculante,verificado contra fuente,El PGAO debe incluir procedimientos para medición anual del PUE.,,
DAT077,generadores,cantidad,Número total de generadores modelados,27,27,,,=,equipos,operación,,respuesta SIC enero 2024,vigente en expediente,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,90,"Anexo V, Tabla 3-1",Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT078,generadores,modelo,Modelo seleccionado tras cambio de proveedor,KOHLER KD3500,,,,=,modelo,operación,,respuesta SIC enero 2024,vigente en expediente,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,9,Modificaciones al proyecto,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,Sustituye el modelo considerado en la documentación inicial.,
