id_hallazgo,tema,tipo_hallazgo,subtipo,variable_asunto,situacion_inicial,valor_inicial,unidad,documento_inicial,pagina_inicial,seccion_inicial,situacion_posterior,valor_posterior,documento_posterior,pagina_posterior,seccion_posterior,intervencion_dinacea,documento_autoridad,pagina_autoridad,condicion_final,numeral_resolucion,pagina_resolucion,estado_final,materialidad,interpretacion_provisional,verificacion,caveat
CHG011,generadores / aire,evidencia pendiente,fichas técnicas,Fichas técnicas que respaldan emisiones,SIC 01 solicita fichas una vez seleccionados los motores; la respuesta difiere su entrega.,pendiente,documentación,Solicitud-de-Informacion-Complementaria-01.pdf,1,Solicitud 2,"Al cierre técnico, DINACEA indica que las fichas de los generadores a instalar no fueron presentadas, aunque el IAR contiene caracterización esperada.",no presentadas al cierre,Informe-Final.pdf,28-29,7.3 Calidad de la emisión,DINACEA condiciona la AAO a ratificar que las emisiones efectivas sean iguales o menores que las evaluadas y a demostrar Tier 2.,Informe-Final.pdf,27-29,Presentar fichas técnicas de los generadores instalados.,5.b,6,pendiente para AAO,alta,La autorización previa se otorga sin cerrar definitivamente la correspondencia entre modelo instalado y emisiones modeladas.,verificado contra documentos indicados,"DINACEA considera que la caracterización permite una verificación inicial, pero exige ratificación posterior."
CHG012,generadores,cambio operativo,horas de mantenimiento,Tiempo de operación de generadores por mantenimiento,"DP: un generador por vez durante un total de 6 horas/año cada uno, en horario diurno.",6,h/año por generador,DP-Teros-24102023.pdf,54,5.2 Operación normal — mantenimiento,Informe Final: operación mensual alternada de 45 min para generadores de 2.750 kW y 30 min para 1.000 kW.,45 min/mes (9 h/año) / 30 min/mes (6 h/año),Informe-Final.pdf,7; 19,2.4.4 Emisiones; 4.2.2 Ruido,DINACEA usa el régimen actualizado para la evaluación final.,Informe-Final.pdf,7; 19,"PGAO debe definir procedimientos, acciones y frecuencia para combustión/mantenimiento.",5.a.iv,6,actualizado,alta,"Para los generadores de 2.750 kW, el supuesto final equivale a 9 h/año, superior a las 6 h/año del DP inicial.",verificado contra documentos indicados,La equivalencia anual de 45 min/mes se calcula aritméticamente; la fuente expresa la frecuencia mensual.
CHG013,aire / ruido,recalculo por cambio,modelaciones,Validez de modelaciones originales tras cambio de generador,DP/EsIA contenían modelaciones de aire y ruido del modelo original.,evaluación original,categórico,DP-Teros-24102023.pdf; EsIA-Teros-24102023.pdf,51-59; anexos,Aire y ruido,La respuesta SIC declara que las emisiones de escape y ruido son diferentes y presenta nuevas evaluaciones.,nueva evaluación,Respuestas-SIC-02-y-SIC-03.pdf,9,Modificaciones al proyecto,"DINACEA evalúa las nuevas modelaciones, pero mantiene pendiente validar equipos efectivamente instalados.",Informe-Final.pdf,27-29,Fichas técnicas finales en AAO.,5.b,6,recalculado con verificación final pendiente,alta,La modelación original no debe utilizarse como representación final sin identificar la versión de generador.,verificado contra documentos indicados,
CHG014,aire,cambio de alcance por autoridad,receptores,Parque de las Ciencias como receptor de calidad de aire,La respuesta SIC 02 defendió excluir PDLC del análisis de calidad de aire por interpretación del concepto de aire ambiente.,excluido,receptor,Respuestas-SIC-02-y-SIC-03.pdf,3,Respuesta 1.a,"Tras reiteración SIC 04, se incluyen receptores dentro de PDLC pero fuera del predio de Eleanor Applications.",incluido,Respuesta-SIC-04-V2.pdf,1,Respuesta SIC 04,DINACEA rechazó la justificación y reiteró explícitamente el requerimiento.,Solicitud-de-informacion-complementaria-04-e-IAR.pdf,1,La evaluación final usa la modelación ampliada.,,,resuelto tras reiteración,alta,El alcance espacial de la evaluación de exposición se amplió por intervención de la autoridad.,verificado contra documentos indicados,
CHG015,aire / riesgo,corrección metodológica,cortes breves,Eventos de corte eléctrico menores a 10 minutos,El análisis de riesgo original no los incluía.,<10 min excluidos,duración,Solicitud-de-Informacion-Complementaria-02.pdf,1-2,Solicitud 1.d,La respuesta revisada incorpora los eventos de apagón menores a 10 minutos.,<10 min incluidos,Respuestas-SIC-02-y-SIC-03.pdf,5,Respuesta 1.d,DINACEA solicitó justificar la exclusión e incluir/revisar esos eventos.,Solicitud-de-Informacion-Complementaria-02.pdf,1-2,El Plan de Emergencia queda para AAO.,5.c,6,corregido,media,La distribución de fallas usada para el riesgo cambió tras la SIC.,verificado contra documentos indicados,
CHG016,clima / energía / aire,vacío metodológico no resuelto,evento extremo,Corte de suministro de 65 horas asociado a ciclón subtropical,DINACEA pidió revisar la exclusión de un apagón de 65 h por tratarse de evento climático extremo.,65,h,Solicitud-de-Informacion-Complementaria-02.pdf,1-2,Solicitud 1.d,El proponente mantiene el evento excluido por considerarlo no representativo y difícil de modelar con un único evento.,65 h sigue excluido,Respuestas-SIC-02-y-SIC-03.pdf,5,Respuesta 1.d,No se identifica reiteración específica de DINACEA para reincorporar las 65 h; la gestión se desplaza al Plan de Emergencia.,Informe-Final.pdf,28; 32-33,Plan de Emergencia ante corte de suministro.,5.c,6,exclusión metodológica persiste; contingencia gestionada por plan,alta,Es un vacío relevante para resiliencia climática: un evento climático real queda fuera de la distribución probabilística usada.,verificado contra documentos indicados,No implica que DINACEA haya aceptado conceptualmente que el evento sea irrelevante; simplemente no lo reitera como dato de modelación.
CHG017,aire / salud,criterio de autoridad modificado,umbral NO2,Umbral para activar desconexión/acciones de emergencia,"El proponente propone activar protocolo de desconexión al superar AEGL1, ~940 µg/m3, con alerta/preparación desde 260 µg/m3.",940 (desconexión); 260 (alerta),µg/m3 NO2,Respuestas-SIC-02-y-SIC-03.pdf,6,Respuesta 1.f,DINACEA rechaza AEGL1 como valor de corte por no ser precautorio y exige acciones a partir de 260 µg/m3.,260,Informe-Final.pdf,28,7.2 Calidad de aire / Plan de Emergencia,La autoridad modifica materialmente el criterio operativo de la respuesta.,Informe-Final.pdf,28,Acciones hacia la comunidad en caso de superar 260 µg/m3 de NO2.,5.c,6,criterio del proponente no aceptado; condición final más precautoria,alta,Es una de las correcciones regulatorias más claras del expediente.,verificado contra documentos indicados,La Resolución exige acciones comunitarias; el detalle del protocolo de desconexión debe completarse en AAO.
CHG018,aire / monitoreo,insuficiencia metodológica,estaciones de monitoreo,Cantidad y ubicación de estaciones automáticas de calidad de aire,El proponente plantea estaciones compactas perimetrales sin justificación suficiente de cantidad/localización.,no definido,estaciones,Respuestas-SIC-02-y-SIC-03.pdf,6,Respuesta 1.f,DINACEA considera insuficiente la justificación y señala que la localización aparentemente elegida podría no ser óptima.,a definir en AAO,Informe-Final.pdf,28,7.2 Calidad de aire,Exige justificar ubicación y metodología en el Plan de Emergencia/monitoreo.,Informe-Final.pdf,28; 32,Plan de monitoreo con ubicación de estaciones y metodologías.,5.c,6,pendiente para AAO,alta,El sistema de monitoreo que sustenta decisiones de emergencia no quedó cerrado en la AAP.,verificado contra documentos indicados,
CHG019,aire,corrección metodológica,período de integración anual,Uso de promedios anuales en escenarios de mantenimiento/emergencia,"La respuesta modela, entre otros resultados, PM10 anual y señala que el fondo de 25,8 µg/m3 ya supera el estándar anual de 20 µg/m3; aporte máximo del proyecto 0,0041 µg/m3.","25,8 fondo; 20 estándar; 0,0041 aporte",µg/m3,Respuestas-SIC-02-y-SIC-03.pdf,9,Análisis operación normal,"DINACEA señala que no corresponde evaluar el funcionamiento acotado de motores para período de integración anual, por tratarse de pocas horas/año o contingencia.",criterio anual no aplicable al escenario,Informe-Final.pdf,28,7.2 Calidad de aire,La autoridad corrige el enfoque metodológico sin objetar las principales conclusiones de la evaluación.,Informe-Final.pdf,27-28,Sin condición autónoma.,,,corrección metodológica,media,"El hecho de que el fondo supere el estándar anual sigue siendo un dato de línea de base, pero no valida usar ese período para atribuir impacto de generadores intermitentes.",verificado contra documentos indicados,
CHG020,calidad documental,inconsistencia editorial,nombre de proyecto,Referencia a 'Proyecto Radar' dentro de respuesta de Teros,El expediente y la respuesta corresponden al Proyecto Teros.,Teros,nombre,Respuestas-SIC-02-y-SIC-03.pdf,2,Portada/identificación,En el resumen de PM10 aparece la frase 'el Proyecto Radar no contribuye significativamente...'.,Radar,Respuestas-SIC-02-y-SIC-03.pdf,9,Análisis calidad de aire operación normal,No se identifica observación de DINACEA sobre el nombre erróneo.,Informe-Final.pdf,27-28,Sin condición.,,,probable error de edición/copia,baja,"No prueba por sí solo que la modelación sea de otro proyecto, pero es una señal de control de calidad documental que conviene auditar.",verificado contra documentos indicados,Debe verificarse el contexto/anexos antes de atribuir un problema metodológico más amplio.
CHG021,ruido,ampliación de evaluación,bajas frecuencias,Contenido de baja frecuencia,"DINACEA detecta que la evaluación inicial debía complementarse para analizar molestias por bajas frecuencias, especialmente de noche.",no evaluado suficientemente,63/125 Hz,Solicitud-de-Informacion-Complementaria-02.pdf,2,Solicitud 2,La respuesta modela 63 y 125 Hz y aplica penalización de 6 dBA al superar LCeq-LAeq 15 dB.,penalización +6 dBA,Respuestas-SIC-02-y-SIC-03.pdf,7-8,Respuesta 2,DINACEA incorpora el análisis y exige verificación operativa.,Informe-Final.pdf,18; 26,Monitoreo NPS por módulo; posible mitigación.,1.d; 5.a.iii; 5.d,4; 6,evaluación ampliada + seguimiento,alta,La baja frecuencia no era un detalle menor: cambia la evaluación de molestia acústica.,verificado contra documentos indicados,
CHG022,ruido,desacuerdo metodológico,línea de base MR1,Valor nocturno característico de línea de base en MR1,El proponente usa 67 dBA como línea de base nocturna de MR1.,67,dBA,Respuestas-SIC-02-y-SIC-03.pdf,8,Respuesta 2,"DINACEA considera que 67 dBA no es precautorio y que 57 dBA sería más acorde, dado que las mediciones variaron entre 57 y 67 dBA.",57 propuesto por DINACEA,Informe-Final.pdf,26,7.1 Evaluación de ruido,DINACEA exige monitoreo exhaustivo y deja abierta la necesidad de mitigación.,Informe-Final.pdf,26; 33,Resultados dentro de 45 días por módulo y medidas si corresponde.,1.d,4,no reconciliado antes de operación; se traslada a monitoreo,alta,La elección de línea de base influye directamente en si el aporte del proyecto aparece o no como perceptible/significativo.,verificado contra documentos indicados,
CHG023,ruido,debilidad metodológica,cobertura de línea de base,Uso de línea de base en receptores,La línea de base se incorpora explícitamente solo para MR1 y MR2.,2 receptores,receptores,Informe-Final.pdf,26,7.1 Evaluación de ruido,DINACEA señala que la falta de línea de base se repite en la mayoría de los receptores evaluados.,mayoría sin línea de base,Informe-Final.pdf,26,7.1 Evaluación de ruido,Considera que potencialmente más receptores podrían superar el objetivo y requerir mitigación.,Informe-Final.pdf,26,"Monitoreo en R12, R13, R14, R15, R24, R25 y MR1, entre otros lineamientos.",1.d; 5.a.iii; 5.d,4; 6,pendiente de verificación operacional,alta,La conclusión de baja significancia acústica queda condicionada por una línea de base que la propia autoridad considera poco robusta.,verificado contra documentos indicados,
CHG024,ruido,narrativa vs acción,significancia / mitigación,Conclusión del proponente frente a acciones exigidas,"La respuesta afirma que en MR1/MR2 el ambiente sigue dominado por el ruido existente y que el incremento es, salvo MR2 nocturno, imperceptible o menor a 1 dBA.","<1 dBA salvo 2,1 dBA en MR2 nocturno",dBA,Respuestas-SIC-02-y-SIC-03.pdf,8,Respuesta 2,"DINACEA identifica potencial necesidad de mitigación en R12, R13, R14, R15, R24, R25 y MR1 y exige monitoreo exhaustivo.",7 receptores con posible mitigación,Informe-Final.pdf,26,7.1 Evaluación de ruido,La autoridad no acepta que la modelación baste para descartar mitigación.,Informe-Final.pdf,26; 33,Monitoreo y proyecto ejecutivo/cronograma de mitigación si corresponde.,1.d,4,conclusión condicionada,alta,"No es una contradicción formal, pero sí una brecha clara entre la narrativa de impacto bajo y las salvaguardas regulatorias finalmente exigidas.",verificado contra documentos indicados,
CHG025,tránsito,alternativa rechazada,Camino Gonchi Rodríguez,Acceso de obra por camino Gonzalo 'Gonchi' Rodríguez,"El DP considera un acceso alternativo potencial por Camino Gonzalo Rodríguez, sujeto a confirmación y aprobaciones.",alternativa potencial,acceso,DP-Teros-24102023.pdf,7,1.5 Ubicación y accesos,DINACEA concluye que podría provocar impacto negativo significativo y no autoriza su uso durante construcción.,prohibido en construcción,Informe-Final.pdf,30,7.5 Posible acceso,La autoridad indica además que EsIA/PGAC no presentan mitigaciones suficientes para ese escenario.,Informe-Final.pdf,30,No acceder ni utilizar el camino Gonchi Rodríguez durante construcción.,1.e,4,alternativa descartada por decisión,alta,Es una modificación material del esquema de acceso respecto de una alternativa que el proponente mantenía abierta.,verificado contra documentos indicados,
CHG026,efluentes,sobreestimación reconocida,efluente doméstico,Caudal máximo doméstico,El proyecto adopta aproximadamente 48 m3/d y demuestra capacidad de la PTE de PDLC para recibirlo.,48,m3/d,Respuestas-SIC-02-y-SIC-03.pdf,9; Anexo I,Respuesta SIC 02 — efluentes,"DINACEA considera que 48 m3/d está sobrestimado para la cantidad prevista de empleados, pero lo acepta por existir capacidad de tratamiento.","48, considerado sobrestimado",Informe-Final.pdf,30,7.6 Emisiones líquidas,La autoridad no exige reducir la cifra de diseño.,Informe-Final.pdf,30,"Nota de aceptación de gestor para efluentes industriales, no domésticos.",5.a.vi,6,cerrado con caveat,media,"El dato final es conservador para capacidad de tratamiento, pero no debe interpretarse como consumo doméstico esperado real sin matiz.",verificado contra documentos indicados,
CHG027,residuos,diferencia numérica,estimación de generación,Tasa anual — Aceites usados,Estimación de generación en DP/PGR inicial.,"2,5",t/año,DP-Teros-24102023.pdf,49,Tabla 5-3 Identificación de residuos,El Informe Final presenta una tasa distinta y atribuye la tabla al PGRSI.,26,Informe-Final.pdf,20,Tabla 6 Caracterización de residuos,"DINACEA exige actualizar el PGRSI para AAO, con atención particular a RAEE.",Informe-Final.pdf,29; 31,Versión actualizada del PGR en PGAO.,5.a.ii,6,diferencia documental; actualización futura requerida,alta,La diferencia es verificable entre el DP y la tabla final; no se encontró en el expediente disponible una explicación fila por fila del cambio.,verificado contra documentos indicados,La tabla del Informe Final indica como fuente el PGRSI; por ello conviene verificar si existió una versión intermedia/actualizada no distinguida como archivo autónomo.
CHG028,residuos,diferencia numérica,estimación de generación,Tasa anual — Filtros de aceite y petróleo,Estimación de generación en DP/PGR inicial.,"0,5",t/año,DP-Teros-24102023.pdf,49,Tabla 5-3 Identificación de residuos,El Informe Final presenta una tasa distinta y atribuye la tabla al PGRSI.,1,Informe-Final.pdf,20,Tabla 6 Caracterización de residuos,"DINACEA exige actualizar el PGRSI para AAO, con atención particular a RAEE.",Informe-Final.pdf,29; 31,Versión actualizada del PGR en PGAO.,5.a.ii,6,diferencia documental; actualización futura requerida,media,La diferencia es verificable entre el DP y la tabla final; no se encontró en el expediente disponible una explicación fila por fila del cambio.,verificado contra documentos indicados,La tabla del Informe Final indica como fuente el PGRSI; por ello conviene verificar si existió una versión intermedia/actualizada no distinguida como archivo autónomo.
CHG029,residuos,diferencia numérica,estimación de generación,Tasa anual — Envases de aceites y grasas,Estimación de generación en DP/PGR inicial.,"0,5",t/año,DP-Teros-24102023.pdf,49,Tabla 5-3 Identificación de residuos,El Informe Final presenta una tasa distinta y atribuye la tabla al PGRSI.,"1,5",Informe-Final.pdf,20,Tabla 6 Caracterización de residuos,"DINACEA exige actualizar el PGRSI para AAO, con atención particular a RAEE.",Informe-Final.pdf,29; 31,Versión actualizada del PGR en PGAO.,5.a.ii,6,diferencia documental; actualización futura requerida,media,La diferencia es verificable entre el DP y la tabla final; no se encontró en el expediente disponible una explicación fila por fila del cambio.,verificado contra documentos indicados,La tabla del Informe Final indica como fuente el PGRSI; por ello conviene verificar si existió una versión intermedia/actualizada no distinguida como archivo autónomo.
CHG030,residuos,diferencia numérica,estimación de generación,Tasa anual — Envases de pintura,Estimación de generación en DP/PGR inicial.,Eventual,t/año,DP-Teros-24102023.pdf,49,Tabla 5-3 Identificación de residuos,El Informe Final presenta una tasa distinta y atribuye la tabla al PGRSI.,1,Informe-Final.pdf,20,Tabla 6 Caracterización de residuos,"DINACEA exige actualizar el PGRSI para AAO, con atención particular a RAEE.",Informe-Final.pdf,29; 31,Versión actualizada del PGR en PGAO.,5.a.ii,6,diferencia documental; actualización futura requerida,media,La diferencia es verificable entre el DP y la tabla final; no se encontró en el expediente disponible una explicación fila por fila del cambio.,verificado contra documentos indicados,La tabla del Informe Final indica como fuente el PGRSI; por ello conviene verificar si existió una versión intermedia/actualizada no distinguida como archivo autónomo.
CHG031,residuos,diferencia numérica,estimación de generación,Tasa anual — Envases de productos químicos,Estimación de generación en DP/PGR inicial.,"0,5",t/año,DP-Teros-24102023.pdf,49,Tabla 5-3 Identificación de residuos,El Informe Final presenta una tasa distinta y atribuye la tabla al PGRSI.,22,Informe-Final.pdf,20,Tabla 6 Caracterización de residuos,"DINACEA exige actualizar el PGRSI para AAO, con atención particular a RAEE.",Informe-Final.pdf,29; 31,Versión actualizada del PGR en PGAO.,5.a.ii,6,diferencia documental; actualización futura requerida,alta,La diferencia es verificable entre el DP y la tabla final; no se encontró en el expediente disponible una explicación fila por fila del cambio.,verificado contra documentos indicados,La tabla del Informe Final indica como fuente el PGRSI; por ello conviene verificar si existió una versión intermedia/actualizada no distinguida como archivo autónomo.
CHG032,residuos,diferencia numérica,estimación de generación,Tasa anual — Cartuchos de tinta o toner,Estimación de generación en DP/PGR inicial.,Eventual,t/año,DP-Teros-24102023.pdf,49,Tabla 5-3 Identificación de residuos,El Informe Final presenta una tasa distinta y atribuye la tabla al PGRSI.,"0,5",Informe-Final.pdf,20,Tabla 6 Caracterización de residuos,"DINACEA exige actualizar el PGRSI para AAO, con atención particular a RAEE.",Informe-Final.pdf,29; 31,Versión actualizada del PGR en PGAO.,5.a.ii,6,diferencia documental; actualización futura requerida,media,La diferencia es verificable entre el DP y la tabla final; no se encontró en el expediente disponible una explicación fila por fila del cambio.,verificado contra documentos indicados,La tabla del Informe Final indica como fuente el PGRSI; por ello conviene verificar si existió una versión intermedia/actualizada no distinguida como archivo autónomo.
CHG033,residuos,diferencia numérica,estimación de generación,Tasa anual — Chatarra metálica,Estimación de generación en DP/PGR inicial.,30,t/año,DP-Teros-24102023.pdf,49,Tabla 5-3 Identificación de residuos,El Informe Final presenta una tasa distinta y atribuye la tabla al PGRSI.,79,Informe-Final.pdf,20,Tabla 6 Caracterización de residuos,"DINACEA exige actualizar el PGRSI para AAO, con atención particular a RAEE.",Informe-Final.pdf,29; 31,Versión actualizada del PGR en PGAO.,5.a.ii,6,diferencia documental; actualización futura requerida,media,La diferencia es verificable entre el DP y la tabla final; no se encontró en el expediente disponible una explicación fila por fila del cambio.,verificado contra documentos indicados,La tabla del Informe Final indica como fuente el PGRSI; por ello conviene verificar si existió una versión intermedia/actualizada no distinguida como archivo autónomo.
CHG034,residuos,diferencia numérica,estimación de generación,Tasa anual — Plásticos,Estimación de generación en DP/PGR inicial.,10,t/año,DP-Teros-24102023.pdf,49,Tabla 5-3 Identificación de residuos,El Informe Final presenta una tasa distinta y atribuye la tabla al PGRSI.,16,Informe-Final.pdf,20,Tabla 6 Caracterización de residuos,"DINACEA exige actualizar el PGRSI para AAO, con atención particular a RAEE.",Informe-Final.pdf,29; 31,Versión actualizada del PGR en PGAO.,5.a.ii,6,diferencia documental; actualización futura requerida,media,La diferencia es verificable entre el DP y la tabla final; no se encontró en el expediente disponible una explicación fila por fila del cambio.,verificado contra documentos indicados,La tabla del Informe Final indica como fuente el PGRSI; por ello conviene verificar si existió una versión intermedia/actualizada no distinguida como archivo autónomo.
